YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M
1991,9,1,26.37,10.88,18.62,28.19,13.67,32.8,19.12,38.88
1991,9,2,25.1,9.33,17.22,26.81,11.35,31.2,19.85,39.44
1991,9,3,23.34,8.7,16.02,24.96,11.89,29.6,17.71,42.5
1991,9,4,24.27,9.12,16.69,26.1,14.3,31.53,17.23,41.69
1991,9,5,25.26,8.49,16.87,26.8,15.52,32.93,17.4,36.62
1991,9,6,24.82,10.39,17.6,26.29,13.31,31.53,18.21,42.12
1991,9,7,23.27,8.72,15.99,24.68,12.3,29.56,17.26,42.12
1991,9,8,23.27,5.8,14.54,24.6,13.93,30.66,16.73,35.5
1991,9,9,24.4,5.73,15.06,25.58,14.95,32.22,17.27,32.62
1991,9,10,26.04,5.18,15.61,27.01,17.3,34.73,17.43,29.12
1991,9,11,28.18,8.19,18.18,28.97,17.91,37.12,19.22,30.31
1991,9,12,28.21,11.4,19.8,29.48,14.59,35.94,21.37,37.12
1991,9,13,26.35,10.19,18.27,27.93,11.86,32.91,21.06,38.56
1991,9,14,23.83,5.42,14.62,25.19,14.02,31.19,17.16,33.5
1991,9,15,23.75,6.98,15.37,25.11,15.66,31.89,16.23,37.75
1991,9,16,24.55,7.15,15.85,25.9,16.33,33.05,16.72,35.19
1991,9,17,25.29,7.83,16.55,26.49,16.01,33.83,17.83,36.38
1991,9,18,25.55,8.13,16.84,26.51,14.06,33.19,19.12,35.69
1991,9,19,24.55,8.12,16.33,25.88,13.23,31.7,18.48,38.44
1991,9,20,24.96,11.46,18.21,26.3,12.98,31.76,18.78,45.38
1991,9,21,24.58,11.02,17.8,25.92,12.6,31.22,18.62,45.0
1991,9,22,24.01,8.7,16.36,25.36,13.24,30.91,17.66,39.31
1991,9,23,22.28,7.51,14.9,23.63,12.88,28.98,16.1,41.0
1991,9,24,22.72,5.72,14.22,23.84,14.55,30.39,15.83,36.38
1991,9,25,23.88,5.22,14.55,24.92,16.19,32.4,16.22,31.88
1991,9,26,25.53,9.08,17.3,26.55,15.52,33.9,18.38,37.75
1991,9,27,25.81,8.66,17.23,26.94,14.77,33.61,18.83,35.44
1991,9,28,25.78,4.53,15.15,26.51,15.28,34.21,18.93,29.25
1991,9,29,26.24,4.42,15.33,26.91,16.56,35.1,18.54,26.88
1991,9,30,26.13,1.65,13.9,26.75,15.99,34.96,18.97,22.0
1991,10,1,25.44,3.26,14.35,26.06,16.52,34.15,17.62,25.31
1991,10,2,26.21,5.33,15.76,26.76,14.61,33.92,19.31,29.19
1991,10,3,26.58,5.86,16.23,27.25,16.09,35.47,19.38,29.75
1991,10,4,25.77,1.3,13.54,26.65,16.0,34.3,18.3,22.12
1991,10,5,22.95,5.83,14.39,24.2,12.47,29.73,17.26,34.06
1991,10,6,21.4,2.81,12.1,22.78,14.12,29.06,14.94,31.62
1991,10,7,21.12,4.35,12.73,22.4,14.34,28.65,14.3,35.25
1991,10,8,21.7,6.94,14.32,22.7,12.9,28.58,15.68,40.19
1991,10,9,21.9,8.05,14.98,22.76,12.22,28.58,16.36,43.88
1991,10,10,21.53,8.4,14.97,22.48,12.43,28.13,15.71,45.75
1991,10,11,22.58,7.44,15.01,23.62,13.89,29.79,15.9,40.31
1991,10,12,22.36,8.3,15.33,23.45,14.01,29.76,15.75,42.56
1991,10,13,21.71,10.96,16.33,22.9,12.37,28.19,15.83,52.94
1991,10,14,20.82,6.05,13.44,21.73,12.48,27.79,15.3,41.19
1991,10,15,20.05,5.26,12.65,20.92,12.97,27.39,14.42,41.5
1991,10,16,20.9,6.27,13.58,21.57,15.56,28.96,13.4,40.75
1991,10,17,22.46,8.04,15.25,23.08,14.03,30.18,16.15,43.69
1991,10,18,22.69,7.35,15.02,23.34,15.33,31.07,15.74,40.0
1991,10,19,23.37,6.31,14.84,23.9,15.04,31.44,16.4,34.5
1991,10,20,22.17,6.51,14.33,23.12,14.74,29.98,15.23,38.88
1991,10,21,22.66,3.36,13.01,22.82,15.19,31.68,16.49,31.94
