YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1990,3,2,98.69,2.39,3.03,1.84,1.2,242.25,3.26,4.9,2.14,2.76,242.12
1990,3,3,98.65,2.91,4.09,1.57,2.52,97.25,4.12,7.88,2.17,5.71,97.5
1990,3,4,98.33,4.5,6.88,3.15,3.74,221.81,6.88,10.45,3.91,6.55,222.19
1990,3,5,98.17,6.84,8.8,4.45,4.35,251.81,9.34,10.53,7.98,2.55,252.44
1990,3,6,98.41,5.67,7.44,3.95,3.49,270.12,8.06,9.2,6.31,2.89,255.12
1990,3,7,98.63,3.7,5.07,2.46,2.62,237.5,5.53,7.17,3.85,3.32,267.38
1990,3,8,98.84,4.46,6.06,3.73,2.33,225.62,6.95,8.12,4.6,3.52,225.81
1990,3,9,98.79,5.58,7.27,3.81,3.46,222.62,8.23,9.84,7.1,2.73,222.75
1990,3,10,98.74,5.87,7.3,4.11,3.19,320.88,8.37,9.77,6.75,3.02,321.38
1990,3,11,98.6,3.99,4.85,2.96,1.89,311.31,6.19,9.06,4.01,5.06,311.56
1990,3,12,98.39,5.58,10.02,2.86,7.17,324.12,7.91,11.62,5.47,6.15,324.0
1990,3,13,98.69,3.2,4.38,2.05,2.33,264.75,4.38,5.11,3.01,2.1,265.0
1990,3,14,98.75,2.41,3.32,1.62,1.71,194.31,3.32,5.52,1.7,3.81,194.94
1990,3,15,98.52,3.53,4.73,2.6,2.14,147.56,5.37,7.67,2.77,4.9,147.81
1990,3,16,98.28,4.67,5.98,3.8,2.18,301.62,7.29,9.8,4.5,5.3,301.56
1990,3,17,98.21,5.77,6.86,4.06,2.8,298.38,8.35,10.59,6.02,4.59,298.75
1990,3,18,98.49,6.95,8.48,4.95,3.53,302.81,9.45,10.27,8.26,2.01,303.44
1990,3,19,98.51,6.0,7.84,4.21,3.62,345.19,8.52,9.89,6.25,3.65,345.62
1990,3,20,98.34,4.72,6.09,3.47,2.62,339.0,6.98,9.09,5.57,3.52,339.31
1990,3,21,98.21,4.38,5.48,3.43,2.05,328.94,6.77,8.89,4.91,3.98,329.25
1990,3,22,98.19,4.08,6.61,2.19,4.42,312.06,6.41,8.34,2.44,5.91,311.81
1990,3,23,98.3,3.54,4.46,2.24,2.21,306.88,5.38,7.84,3.39,4.45,306.88
1990,3,24,98.58,3.41,3.99,2.66,1.33,276.0,5.03,6.76,3.52,3.24,275.56
1990,3,25,98.6,4.34,5.9,2.91,2.99,53.94,6.65,7.86,4.48,3.38,68.94
1990,3,26,98.45,3.89,5.02,2.89,2.12,41.0,5.77,7.3,4.16,3.14,41.12
1990,3,27,98.31,3.34,4.47,2.21,2.27,98.44,4.88,7.13,2.43,4.7,98.5
1990,3,28,98.18,4.67,6.33,3.12,3.2,88.62,7.31,10.19,3.68,6.51,89.06
1990,3,29,98.04,5.19,8.0,3.25,4.74,98.88,7.95,9.54,5.2,4.34,99.44
1990,3,30,98.16,6.06,9.53,3.88,5.65,110.75,8.78,10.84,6.82,4.02,81.06
1990,3,31,98.14,3.59,5.93,1.1,4.83,142.5,5.02,9.68,1.48,8.19,142.44
1990,4,1,97.85,6.28,9.63,2.23,7.4,321.62,8.6,11.07,3.39,7.68,321.5
1990,4,2,97.87,5.04,6.73,3.72,3.01,309.62,7.52,9.02,6.6,2.42,310.19
1990,4,3,98.15,2.93,3.92,1.81,2.11,213.62,4.5,8.0,2.1,5.9,212.31
1990,4,4,98.35,2.65,4.27,0.85,3.41,87.75,3.88,6.11,0.73,5.38,88.94
1990,4,5,98.15,3.16,5.18,1.67,3.5,146.88,4.74,7.3,1.91,5.4,146.31
1990,4,6,97.93,3.59,5.21,1.95,3.26,57.38,5.67,8.48,1.83,6.65,57.44
1990,4,7,98.05,3.63,4.78,2.58,2.2,62.44,5.42,6.92,3.73,3.2,62.38
1990,4,8,98.05,2.65,4.74,1.6,3.13,167.69,3.71,5.4,1.86,3.54,181.62
1990,4,9,97.69,2.12,3.2,0.26,2.93,252.44,3.09,5.56,0.16,5.4,253.69
1990,4,10,97.22,2.77,3.64,0.8,2.84,224.5,3.91,6.1,1.07,5.03,224.69
1990,4,11,97.1,5.59,8.46,3.52,4.94,244.25,8.55,11.38,6.45,4.92,244.25
1990,4,12,97.38,5.12,6.86,3.27,3.58,15.25,7.13,9.61,4.02,5.59,15.69
1990,4,13,97.49,5.12,6.6,3.58,3.02,155.25,7.01,8.95,4.65,4.3,155.81
1990,4,14,97.89,5.9,8.56,4.12,4.45,181.44,8.12,9.78,6.38,3.41,181.75
1990,4,15,98.1,5.91,7.43,4.11,3.31,182.5,8.21,9.2,7.13,2.07,167.56
1990,4,16,98.17,5.05,6.66,3.7,2.97,17.25,7.46,8.46,5.8,2.66,17.19
1990,4,17,98.05,4.11,6.01,2.98,3.02,31.56,6.3,7.68,4.2,3.48,31.88
1990,4,18,97.92,2.67,3.45,1.49,1.96,178.62,4.32,6.77,1.56,5.2,178.31
1990,4,19,97.77,4.04,5.74,2.72,3.02,80.19,6.14,8.2,3.84,4.37,80.38
1990,4,20,97.72,4.8,9.4,0.46,8.95,58.56,6.61,12.09,0.4,11.69,59.75
1990,4,21,97.79,5.37,7.24,2.84,4.4,42.06,7.11,10.49,2.8,7.7,42.5
1990,4,22,97.79,6.03,7.82,4.49,3.33,40.31,8.16,9.96,7.07,2.89,41.06
1990,4,23,97.68,5.73,6.84,4.24,2.59,135.12,8.27,11.3,6.54,4.75,135.88
1990,4,24,97.56,4.84,6.67,3.02,3.66,237.62,6.96,10.2,3.18,7.01,224.0
1990,4,25,97.59,4.3,7.17,2.15,5.02,79.56,6.42,8.98,3.55,5.45,79.56
1990,4,26,97.66,3.8,5.02,2.73,2.3,87.31,5.73,7.88,4.37,3.51,86.88
